user_id,name,account_id,account_number,agency,balance,account_limit,card_id,card_number,card_limit
1,Naruto,101,00001-1,0001,1000.00,5000.00,201,**** **** **** 0001,1000.00
2,Hinata,102,00002-1,0001,2000.00,10000.00,202,**** **** **** 0002,2000.00
3,Sasuke,103,00003-1,0001,3000.00,15000.00,203,**** **** **** 0003,3000.00
4,Pyterson,104,00004-1,0001,4000.00,20000.00,204,**** **** **** 0004,4000.00
5,Pip,105,00005-1,0001,5000.00,25000.00,205,**** **** **** 0005,5000.00
6,Anna,106,00006-1,0001,6000.00,30000.00,206,**** **** **** 0006,6000.00
7,Bob,107,00007-1,0001,7000.00,35000.00,207,**** **** **** 0007,7000.00
8,Charlie,108,00008-1,0001,8000.00,40000.00,208,**** **** **** 0008,8000.00
9,David,109,00009-1,0001,9000.00,45000.00,209,**** **** **** 0009,9000.00
10,Eve,110,00010-1,0001,10000.00,50000.00,210,**** **** **** 0010,10000.00
